movie,title,genres
2056,French Twist (Gazon maudit) (1995),Comedy|Romance
1910,Friday (1995),Comedy
784,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
1760,Fair Game (1995),Action
2246,Kicking and Screaming (1995),Comedy|Drama
287,"Misérables, Les (1995)",Drama|Musical
919,Bed of Roses (1996),Drama|Romance
3524,Big Bully (1996),Comedy|Drama
673,Screamers (1995),Sci-Fi|Thriller
2430,Nico Icon (1995),Documentary
2782,"Crossing Guard, The (1995)",Drama
3048,"Juror, The (1996)",Drama|Thriller
2319,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
816,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
1555,Antonia's Line (Antonia) (1995),Drama
2100,Once Upon a Time... When We Were Colored (1995),Drama
1672,Last Summer in the Hamptons (1995),Comedy|Drama
2101,Angels and Insects (1995),Drama|Romance
1181,White Squall (1996),Adventure|Drama
1652,Dunston Checks In (1996),Children's|Comedy
564,Black Sheep (1996),Comedy
1288,Nick of Time (1995),Action|Thriller
3368,"Journey of August King, The (1995)",Drama
2322,Mary Reilly (1996),Drama|Thriller
2323,Vampire in Brooklyn (1995),Comedy|Romance
1441,Beautiful Girls (1996),Drama
821,Broken Arrow (1996),Action|Thriller
2648,In the Bleak Midwinter (1995),Comedy
1908,"Hate (Haine, La) (1995)",Drama
2167,Heidi Fleiss: Hollywood Madam (1995),Documentary
1356,City Hall (1996),Drama|Thriller
1846,Bottle Rocket (1996),Comedy
3078,Mr. Wrong (1996),Comedy
2920,Unforgettable (1996),Thriller
114,Happy Gilmore (1996),Comedy
289,"Bridges of Madison County, The (1995)",Drama|Romance
2664,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
1218,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
3057,Catwalk (1995),Documentary
66,Braveheart (1995),Action|Drama|War
293,Taxi Driver (1976),Drama|Thriller
1599,Rumble in the Bronx (1995),Action|Adventure|Crime
3231,Before and After (1996),Drama|Mystery
3382,Margaret's Museum (1995),Drama
2440,Anne Frank Remembered (1995),Documentary
1897,"Young Poisoner's Handbook, The (1995)",Crime
925,If Lucy Fell (1996),Comedy|Romance
2386,"Steal Big, Steal Little (1995)",Comedy
2751,"Boys of St. Vincent, The (1993)",Drama
2532,Boomerang (1992),Comedy|Romance
1109,Chungking Express (1994),Drama|Mystery|Romance
2609,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
2050,Flirting With Disaster (1996),Comedy
2472,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy
2428,Jupiter's Wife (1994),Documentary
1917,Pie in the Sky (1995),Comedy|Romance
3391,Angela (1995),Drama
3437,Frankie Starlight (1995),Drama|Romance
2694,Jade (1995),Thriller
3493,Sonic Outlaws (1995),Documentary
2400,Down Periscope (1996),Comedy
2884,From the Journals of Jean Seberg (1995),Documentary
2911,Man of the Year (1995),Documentary
3475,"Neon Bible, The (1995)",Drama
3357,Target (1995),Action|Drama
1223,Up Close and Personal (1996),Drama|Romance
584,"Birdcage, The (1996)",Comedy
1115,"Brothers McMullen, The (1995)",Comedy
1698,Bad Boys (1995),Action
3107,"Amazing Panda Adventure, The (1995)",Adventure|Children's
2637,"Basketball Diaries, The (1995)",Drama
1372,"Awfully Big Adventure, An (1995)",Drama
2361,Amateur (1994),Crime|Drama|Thriller
31,Apollo 13 (1995),Drama
270,Rob Roy (1995),Drama|Romance|War
2695,"Addiction, The (1995)",Horror
855,Batman Forever (1995),Action|Adventure|Comedy|Crime
1076,Belle de jour (1967),Drama
2832,Beyond Rangoon (1995),Drama|War
2647,Blue in the Face (1995),Comedy
1799,Canadian Bacon (1994),Comedy|War
696,Casper (1995),Adventure|Children's
1283,Clockers (1995),Drama
2363,Congo (1995),Action|Adventure|Mystery|Sci-Fi
594,Crimson Tide (1995),Drama|Thriller|War
173,Crumb (1994),Documentary
95,Desperado (1995),Action|Romance|Thriller
635,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
758,Die Hard: With a Vengeance (1995),Action|Thriller
3009,"Doom Generation, The (1995)",Comedy|Drama
2898,Feast of July (1995),Drama
892,First Knight (1995),Action|Adventure|Drama|Romance
3308,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama
2190,Hackers (1995),Action|Crime|Thriller
2039,Jeffrey (1995),Comedy
1128,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
1383,Judge Dredd (1995),Action|Adventure|Sci-Fi
2706,Jury Duty (1995),Comedy
860,Kids (1995),Drama
182,Living in Oblivion (1995),Comedy
1384,Lord of Illusions (1995),Horror
2912,Love & Human Remains (1993),Comedy
3232,Mad Love (1995),Drama|Romance
796,Mallrats (1995),Comedy
1642,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's
2233,Moonlight and Valentino (1995),Drama|Romance
2157,Mute Witness (1994),Thriller
1392,Nadja (1994),Drama
1540,"Net, The (1995)",Sci-Fi|Thriller
2353,Nine Months (1995),Comedy
2234,Party Girl (1995),Comedy
1394,"Prophecy, The (1995)",Horror
3071,Reckless (1995),Comedy
1396,Safe (1995),Thriller
2624,"Scarlet Letter, The (1995)",Drama
3332,"Show, The (1995)",Documentary
1397,Showgirls (1995),Drama
1903,Smoke (1995),Drama
2463,Something to Talk About (1995),Comedy|Drama|Romance
836,Species (1995),Horror|Sci-Fi
3235,"Stars Fell on Henrietta, The (1995)",Drama
646,Strange Days (1995),Action|Crime|Sci-Fi
248,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
3481,"Tie That Binds, The (1995)",Thriller
2636,Three Wishes (1995),Drama
2894,Total Eclipse (1995),Drama|Romance
532,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
2645,Under Siege 2: Dark Territory (1995),Action
2228,Unstrung Heroes (1995),Comedy|Drama
1956,Unzipped (1995),Documentary
930,"Walk in the Clouds, A (1995)",Drama|Romance
534,Waterworld (1995),Action|Adventure
2076,White Man's Burden (1995),Drama
2798,Wild Bill (1995),Western
2895,"Browning Version, The (1994)",Drama
3256,Bushwhacked (1995),Comedy
1953,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
2094,Before the Rain (Pred dozhdot) (1994),Drama
2052,Before Sunrise (1995),Drama|Romance
544,Billy Madison (1995),Comedy
2792,"Babysitter, The (1995)",Drama|Thriller
1920,Boys on the Side (1995),Comedy|Drama
3171,"Cure, The (1995)",Drama
3016,Castle Freak (1995),Horror
1050,Circle of Friends (1995),Drama|Romance
318,Clerks (1994),Comedy
1174,Don Juan DeMarco (1995),Comedy|Drama|Romance
1850,Disclosure (1994),Drama|Thriller
1991,Drop Zone (1994),Action
2623,Destiny Turns on the Radio (1995),Comedy
1119,Death and the Maiden (1994),Drama|Thriller
275,Dolores Claiborne (1994),Drama|Thriller
1274,Dumb & Dumber (1994),Comedy
700,Eat Drink Man Woman (1994),Comedy|Drama
1125,Exotica (1994),Drama
2703,Exit to Eden (1994),Comedy
634,Ed Wood (1994),Comedy|Drama
1170,French Kiss (1995),Comedy|Romance
2261,Forget Paris (1995),Comedy|Romance
3175,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's
1639,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance
2366,Hideaway (1995),Thriller
2299,Fluke (1995),Children's|Drama
1937,Farinelli: il castrato (1994),Drama|Musical
3084,"Glass Shield, The (1994)",Crime|Drama
548,Hoop Dreams (1994),Documentary
639,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
382,Houseguest (1994),Comedy
705,Immortal Beloved (1994),Drama|Romance
2530,Heavyweights (1994),Children's|Comedy
1820,"Hunted, The (1995)",Action
895,I.Q. (1994),Comedy|Romance
290,Interview with the Vampire (1994),Drama|Horror
1539,Jefferson in Paris (1995),Drama
2128,"Jerky Boys, The (1994)",Comedy
1130,Junior (1994),Comedy|Sci-Fi
1706,Just Cause (1995),Mystery|Thriller
1643,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
1393,Kiss of Death (1995),Crime|Drama|Thriller
36,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
716,Little Women (1994),Drama
717,"Little Princess, A (1995)",Children's|Drama
2411,Ladybird Ladybird (1994),Drama
3085,"Enfer, L' (1994)",Drama
76,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
242,Legends of the Fall (1994),Drama|Romance|War|Western
2305,Major Payne (1994),Comedy
1399,Little Odessa (1994),Drama
299,My Crazy Life (Mi vida loca) (1993),Drama
2976,Love Affair (1994),Drama|Romance
2237,Losing Isaiah (1995),Drama
1408,"Madness of King George, The (1994)",Drama
1821,Mary Shelley's Frankenstein (1994),Drama|Horror
2062,Man of the House (1995),Comedy
430,Mixed Nuts (1994),Comedy
2339,Milk Money (1994),Comedy|Romance
1580,Miracle on 34th Street (1994),Drama
3013,Miami Rhapsody (1995),Comedy
1544,My Family (1995),Drama
1410,Murder in the First (1995),Drama|Thriller
1411,Nobody's Fool (1994),Drama
439,Nell (1994),Drama
3088,New Jersey Drive (1995),Crime|Drama
3266,Nina Takes a Lover (1994),Comedy|Romance
265,Natural Born Killers (1994),Action|Thriller
1229,Only You (1994),Comedy|Romance
1418,Once Were Warriors (1994),Crime|Drama
2595,Poison Ivy II (1995),Thriller
449,Outbreak (1995),Action|Drama|Thriller
659,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
2638,"Perez Family, The (1995)",Comedy|Romance
2341,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
163,Pulp Fiction (1994),Crime|Drama
3228,Panther (1995),Drama
1670,Pushing Hands (1992),Comedy
2040,Priest (1994),Drama
320,Quiz Show (1994),Drama
2231,Picture Bride (1995),Drama|Romance
699,Queen Margot (La Reine Margot) (1994),Drama|Romance
857,"Quick and the Dead, The (1995)",Action|Adventure|Western
2878,Roommates (1995),Comedy|Drama
2765,Ready to Wear (Pret-A-Porter) (1994),Comedy
1902,Three Colors: Red (1994),Drama
1380,Three Colors: Blue (1993),Drama
2095,Three Colors: White (1994),Drama
2593,"Red Firecracker, Green Firecracker (1994)",Drama
2966,Rent-a-Kid (1995),Comedy
1909,Stuart Saves His Family (1995),Comedy
704,"Swan Princess, The (1994)",Animation|Children's
2038,"Secret of Roan Inish, The (1994)",Drama
2331,"Specialist, The (1994)",Action
380,Stargate (1994),Action|Adventure|Sci-Fi
381,"Santa Clause, The (1994)",Children's|Comedy|Fantasy
109,"Shawshank Redemption, The (1994)",Drama
638,Shallow Grave (1994),Thriller
2020,Suture (1993),Film-Noir|Thriller
1586,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
1389,Swimming with Sharks (1995),Comedy|Drama
2571,"Sum of Us, The (1994)",Comedy
2061,National Lampoon's Senior Trip (1995),Comedy
1391,To Live (Huozhe) (1994),Drama
2600,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi
2304,Tales From the Crypt Presents: Demon Knight (1995),Horror
392,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
761,Tales from the Hood (1995),Comedy|Horror
2732,Tom & Viv (1994),Drama
2607,Village of the Damned (1995),Horror|Sci-Fi
552,Tommy Boy (1995),Comedy
954,Vanya on 42nd Street (1994),Drama
3019,"Underneath, The (1995)",Mystery|Thriller
2541,"Walking Dead, The (1995)",Drama|War
297,What's Eating Gilbert Grape (1993),Drama
2509,Virtuosity (1995),Sci-Fi|Thriller
412,While You Were Sleeping (1995),Comedy|Romance
1975,"War, The (1994)",Adventure|Drama
1405,Double Happiness (1994),Drama
1480,Muriel's Wedding (1994),Comedy|Romance
2863,"Baby-Sitters Club, The (1995)",Children's
428,Ace Ventura: Pet Detective (1994),Comedy
554,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
2024,Backbeat (1993),Drama|Musical
2867,Bitter Moon (1992),Drama
209,Bullets Over Broadway (1994),Comedy
98,Clear and Present Danger (1994),Action|Adventure|Thriller
1502,"Client, The (1994)",Drama|Mystery|Thriller
438,"Corrina, Corrina (1994)",Comedy|Drama|Romance
2081,Crooklyn (1994),Comedy
728,"Crow, The (1994)",Action|Romance|Thriller
2625,Cobb (1994),Drama
2551,"Flintstones, The (1994)",Children's|Comedy
110,Forrest Gump (1994),Comedy|Romance|War
440,Four Weddings and a Funeral (1994),Comedy|Romance
1413,Higher Learning (1995),Drama
2964,I Like It Like That (1994),Comedy|Drama|Romance
1758,I Love Trouble (1994),Action|Comedy
908,It Could Happen to You (1994),Drama|Romance
2311,"Jungle Book, The (1994)",Adventure|Children's|Romance
2027,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
226,"Lion King, The (1994)",Animation|Children's|Musical
2240,Little Buddha (1993),Drama
1259,Wes Craven's New Nightmare (1994),Horror
450,"Mask, The (1994)",Comedy|Crime|Fantasy
59,Maverick (1994),Action|Comedy|Western
2241,Mrs. Parker and the Vicious Circle (1994),Drama
1707,Naked Gun 33 1/3: The Final Insult (1994),Comedy
1234,"Paper, The (1994)",Comedy|Drama
1942,Reality Bites (1994),Comedy|Drama
1708,Red Rock West (1992),Thriller
2865,Richie Rich (1994),Children's|Comedy
2568,Safe Passage (1994),Drama
1759,"River Wild, The (1994)",Action|Thriller
169,Speed (1994),Action|Romance|Thriller
914,Speechless (1994),Comedy|Romance
1201,Timecop (1994),Action|Sci-Fi
96,True Lies (1994),Action|Adventure|Comedy|Romance
1177,When a Man Loves a Woman (1994),Drama
1836,Wolf (1994),Drama|Horror
232,Wyatt Earp (1994),Western
1883,Bad Company (1995),Action
2901,"Man of No Importance, A (1994)",Drama
3316,S.F.W. (1994),Drama
2744,"Low Down Dirty Shame, A (1994)",Action|Comedy
2244,Boys Life (1995),Drama
3153,"Colonel Chabert, Le (1994)",Drama|Romance|War
1869,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama
3202,Jason's Lyric (1994),Crime|Drama
1481,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's
1769,Street Fighter (1994),Action
3037,Coldblooded (1995),Action
3450,Fall Time (1995),Drama
3223,"Fear, The (1995)",Horror
3324,Frank and Ollie (1995),Documentary
3147,Mirage (1995),Action|Thriller
3512,Brother Minister: The Assassination of Malcolm X (1994),Documentary
2452,Highlander III: The Sorcerer (1994),Action|Sci-Fi
2725,Federal Hill (1994),Drama
2686,In the Mouth of Madness (1995),Horror|Thriller
1996,8 Seconds (1994),Drama
2251,Above the Rim (1994),Drama
2178,Addams Family Values (1993),Comedy
3434,You So Crazy (1994),Comedy
719,"Age of Innocence, The (1993)",Drama
1831,Airheads (1994),Comedy
2358,"Air Up There, The (1994)",Comedy
2924,Another Stakeout (1993),Comedy|Thriller
2800,Bad Girls (1994),Western
1668,Barcelona (1994),Comedy|Romance
3034,Being Human (1993),Drama
2608,"Beverly Hillbillies, The (1993)",Comedy
766,Beverly Hills Cop III (1994),Action|Comedy
577,Black Beauty (1994),Adventure|Children's
2584,Blink (1994),Thriller
1999,Blown Away (1994),Action|Thriller
2585,Blue Chips (1994),Drama
868,Blue Sky (1994),Drama|Romance
2000,Body Snatchers (1993),Horror|Sci-Fi|Thriller
2510,Boxing Helena (1993),Mystery|Romance|Thriller
655,"Bronx Tale, A (1993)",Drama
805,Cabin Boy (1994),Comedy
3227,Calendar Girl (1993),Drama
1027,Carlito's Way (1993),Crime|Drama
1417,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
2780,Clean Slate (1994),Comedy
1575,Cliffhanger (1993),Action|Adventure|Crime
448,Coneheads (1993),Comedy|Sci-Fi
2763,Color of Night (1994),Drama|Thriller
3366,Cops and Robbersons (1994),Comedy
2453,"Cowboy Way, The (1994)",Action|Comedy
3490,Dangerous Game (1993),Drama
985,Dave (1993),Comedy|Romance
1059,Dazed and Confused (1993),Comedy
258,Demolition Man (1993),Action|Sci-Fi
2992,"Endless Summer 2, The (1994)",Documentary
2764,Even Cowgirls Get the Blues (1993),Comedy|Romance
3142,Fatal Instinct (1993),Comedy
663,Farewell My Concubine (1993),Drama|Romance
3158,"Favor, The (1994)",Comedy|Romance
1424,Fearless (1993),Drama
1152,Fear of a Black Hat (1993),Comedy
2342,With Honors (1994),Comedy|Drama
2395,Flesh and Bone (1993),Drama|Mystery|Romance
3029,Widows' Peak (1994),Drama
2464,For Love or Money (1993),Comedy
668,"Firm, The (1993)",Drama|Thriller
1794,Free Willy (1993),Adventure|Children's|Drama
1429,Fresh (1994),Drama
99,"Fugitive, The (1993)",Action|Thriller
2316,Geronimo: An American Legend (1993),Drama|Western
2639,"Getaway, The (1994)",Action
3367,Getting Even with Dad (1994),Comedy
2245,Go Fish (1994),Drama|Romance
2750,"Good Man in Africa, A (1994)",Action|Adventure
2587,Guilty as Sin (1993),Crime|Drama|Thriller
2031,Hard Target (1993),Action|Adventure|Crime|Thriller
285,Heaven & Earth (1993),Action|Drama|War
1155,Hot Shots! Part Deux (1993),Action|Comedy|War
2448,Live Nude Girls (1995),Comedy
873,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance
2851,"House of the Spirits, The (1993)",Drama|Romance
3404,House Party 3 (1994),Comedy
923,"Hudsucker Proxy, The (1994)",Comedy|Romance
2828,I'll Do Anything (1994),Comedy|Drama
2343,In the Army Now (1994),Comedy|War
261,In the Line of Fire (1993),Action|Thriller
740,In the Name of the Father (1993),Drama
1588,"Inkwell, The (1994)",Comedy|Drama
1786,What's Love Got to Do with It? (1993),Drama
3311,Jimmy Hollywood (1994),Comedy
2192,Judgment Night (1993),Action
77,Jurassic Park (1993),Action|Adventure|Sci-Fi
565,Kalifornia (1993),Drama|Thriller
1440,Killing Zoe (1994),Thriller
2250,King of the Hill (1993),Drama
2862,Lassie (1994),Adventure|Children's
819,Last Action Hero (1993),Action|Comedy
2465,Life with Mikey (1993),Comedy
2803,Lightning Jack (1994),Comedy|Western
2324,M. Butterfly (1993),Drama
3229,Made in America (1993),Comedy
1863,Malice (1993),Thriller
1927,"Man Without a Face, The (1993)",Drama
1447,Manhattan Murder Mystery (1993),Comedy|Mystery
851,Menace II Society (1993),Action|Crime|Drama
1289,Executive Decision (1996),Action|Thriller
2330,In the Realm of the Senses (Ai no corrida) (1976),Drama
2949,What Happened Was... (1994),Comedy|Drama|Romance
1070,Much Ado About Nothing (1993),Comedy|Romance
3051,Mr. Jones (1993),Drama|Romance
929,Mr. Wonderful (1993),Comedy|Romance
605,Mrs. Doubtfire (1993),Comedy
1416,Naked (1993),Drama
2364,"Next Karate Kid, The (1994)",Action|Children's
3010,"New Age, The (1994)",Drama
2598,No Escape (1994),Action|Sci-Fi
2791,North (1994),Comedy
157,Orlando (1993),Drama
1145,"Perfect World, A (1993)",Action|Drama
1028,Philadelphia (1993),Drama
159,"Piano, The (1993)",Drama|Romance
2786,Poetic Justice (1993),Drama
912,"Program, The (1993)",Action|Drama
2002,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi
1421,Radioland Murders (1994),Comedy|Mystery|Romance
1714,"Ref, The (1994)",Comedy
75,"Remains of the Day, The (1993)",Drama
2312,Renaissance Man (1994),Comedy|Drama|War
1303,Rising Sun (1993),Action|Drama|Mystery
2313,"Road to Wellville, The (1994)",Comedy
2714,Robocop 3 (1993),Sci-Fi|Thriller
466,Robin Hood: Men in Tights (1993),Comedy
1426,Romeo Is Bleeding (1993),Crime|Thriller
1428,Romper Stomper (1992),Action|Drama
2096,Ruby in Paradise (1993),Drama
278,Rudy (1993),Drama
2315,"Saint of Fort Washington, The (1993)",Drama
3374,"Savage Nights (Nuits fauves, Les) (1992)",Drama
17,Schindler's List (1993),Drama|War
3199,"Scout, The (1994)",Drama
322,Searching for Bobby Fischer (1993),Drama
3478,Second Best (1994),Drama
41,"Secret Garden, The (1993)",Children's|Drama
815,Serial Mom (1994),Comedy|Crime|Horror
1768,"Shadow, The (1994)",Action
1724,Shadowlands (1993),Drama|Romance
1907,Short Cuts (1993),Drama
2460,"Simple Twist of Fate, A (1994)",Drama
2391,Sirens (1994),Comedy|Drama
1433,Six Degrees of Separation (1993),Drama
492,Sleepless in Seattle (1993),Comedy|Romance
3106,Sliver (1993),Thriller
504,Blade Runner (1982),Film-Noir|Sci-Fi
505,Son in Law (1993),Comedy
506,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
2879,Striking Distance (1993),Action
883,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi
2542,Surviving the Game (1994),Action|Adventure|Thriller
2004,Terminal Velocity (1994),Action
1946,Thirty-Two Short Films About Glenn Gould (1993),Documentary
1067,Threesome (1994),Comedy|Romance
193,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
122,"Three Musketeers, The (1993)",Action|Adventure|Comedy
612,Tombstone (1993),Western
3408,Trial by Jury (1994),Thriller
300,True Romance (1993),Action|Crime|Romance
1163,"War Room, The (1993)",Documentary
3302,Mamma Roma (1962),Drama
1653,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy
3370,"Paris, France (1993)",Comedy
3306,"Beans of Egypt, Maine, The (1994)",Drama
1446,Killer (Bulletproof Heart) (1994),Thriller
212,Welcome to the Dollhouse (1995),Comedy|Drama
3080,Germinal (1993),Drama
2809,Chasers (1994),Comedy
2329,Cronos (1992),Horror
3394,Naked in New York (1994),Comedy|Romance
3280,Kika (1993),Drama
1674,Bhaji on the Beach (1993),Comedy|Drama
252,Little Big League (1994),Children's|Comedy
2401,"Slingshot, The (Kådisbellan ) (1993)",Comedy|Drama
1306,"Wedding Gift, The (1994)",Drama
3440,Foreign Student (1994),Drama
2201,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama
1887,Spanking the Monkey (1994),Comedy|Drama
1608,"Little Rascals, The (1994)",Children's|Comedy
1609,Andre (1994),Adventure|Children's
2715,"Hour of the Pig, The (1993)",Drama|Mystery
2601,Princess Caraboo (1994),Drama
998,"Celluloid Closet, The (1995)",Documentary
2617,Dear Diary (Caro Diario) (1994),Comedy|Drama
3463,I Don't Want to Talk About It (De eso no se habla) (1993),Drama
789,"Brady Bunch Movie, The (1995)",Comedy
695,Home Alone (1990),Children's|Comedy
349,Ghost (1990),Comedy|Romance|Thriller
25,Aladdin (1992),Animation|Children's|Comedy|Musical
69,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
83,Dances with Wolves (1990),Adventure|Drama|Western
368,Batman (1989),Action|Adventure|Crime|Drama
87,"Silence of the Lambs, The (1991)",Drama|Thriller
5,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
7,Beauty and the Beast (1991),Animation|Children's|Musical
371,Pinocchio (1940),Animation|Children's
231,Pretty Woman (1990),Comedy|Romance
3079,Window to Paris (1994),Comedy
1271,"Wild Bunch, The (1969)",Western
3105,Love and a .45 (1994),Thriller
2098,"Great Day in Harlem, A (1994)",Documentary
2634,"Bye Bye, Love (1995)",Comedy
917,One Fine Day (1996),Drama|Romance
2559,Candyman: Farewell to the Flesh (1995),Horror
43,Fargo (1996),Crime|Drama|Thriller
1650,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children's
677,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
1795,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
3058,"Pallbearer, The (1996)",Comedy
2247,Jane Eyre (1996),Drama|Romance
3482,Loaded (1994),Drama|Thriller
1498,Bread and Chocolate (Pane e cioccolata) (1973),Drama
738,"Aristocats, The (1970)",Animation|Children's
1438,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",Drama
3504,Two Much (1996),Comedy|Romance
2704,Ed (1996),Comedy
2249,My Favorite Season (1993),Drama
3421,"Modern Affair, A (1995)",Romance
3506,Condition Red (1995),Action|Drama|Thriller
2738,"Thin Line Between Love and Hate, A (1996)",Comedy
2321,"Last Supper, The (1995)",Drama|Thriller
613,Primal Fear (1996),Drama|Thriller
1559,Carried Away (1996),Drama|Romance
1656,All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical
2327,Land and Freedom (Tierra y libertad) (1995),War
3163,Denise Calls Up (1995),Comedy
2328,"Family Thing, A (1996)",Comedy|Drama
2615,Sgt. Bilko (1996),Comedy
2845,Jack and Sarah (1995),Romance
2082,Girl 6 (1996),Comedy
2936,Diabolique (1996),Drama|Thriller
1886,Nelly & Monsieur Arnaud (1995),Drama
1113,Courage Under Fire (1996),Drama|War
49,Mission: Impossible (1996),Action|Adventure|Mystery
1888,Cold Fever (Á köldum klaka) (1994),Comedy|Drama
269,Moll Flanders (1996),Drama
3409,"301, 302 (1995)",Mystery
119,Dragonheart (1996),Action|Adventure|Fantasy
3257,Eddie (1996),Comedy
